DATE,GDPCA
1987-01-01,8516.418
1988-01-01,8872.154
1989-01-01,9197.997
1990-01-01,9371.468
1991-01-01,9361.322
1992-01-01,9691.069
1993-01-01,9957.746
1994-01-01,10358.923
1995-01-01,10636.979
1996-01-01,11038.266
1997-01-01,11529.157
1998-01-01,12045.824
1999-01-01,12623.361
2000-01-01,13138.035
2001-01-01,13263.417
2002-01-01,13488.357
2003-01-01,13865.519
2004-01-01,14399.696
2005-01-01,14901.269
2006-01-01,15315.943
2007-01-01,15623.871
2008-01-01,15642.962
2009-01-01,15236.262
2010-01-01,15648.991
2011-01-01,15891.534
2012-01-01,16253.97
2013-01-01,16553.348
2014-01-01,16932.051
2015-01-01,17390.295
2016-01-01,17680.274
2017-01-01,18076.651
2018-01-01,18609.078
2019-01-01,19036.052
2020-01-01,18509.143
2021-01-01,19609.812
2022-01-01,20014.128
